id,headline,text,date,source,ticker
n001,TCS signs $2 billion AI partnership with Microsoft,"Tata Consultancy Services (TCS) announced a $2 billion strategic partnership with Microsoft to accelerate generative AI adoption across enterprise clients. The deal will see TCS build AI-powered solutions on Microsoft Azure, with analysts calling the tie-up a major win for the IT services giant.",2026-08-12,MarketWire,TCS
n002,TCS expands generative AI services division,"TCS said it will expand its generative AI services division after strong client demand, hiring over 5000 engineers focused on AI and cloud technology in the coming year.",2026-08-14,FinNews,TCS
n003,TCS reports strong quarterly earnings,"TCS reported quarterly revenue growth of 12% year over year, beating analyst estimates. Net profit rose 15%, driven by strong demand in its BFSI and technology segments.",2026-08-20,MarketWire,TCS
n004,TCS quarterly profit beats estimates,"TCS posted a quarterly profit that beat Wall Street and Dalal Street estimates alike, with margins expanding on the back of cost discipline and higher-value AI contracts.",2026-08-21,FinNews,TCS
n005,TCS hiring guidance remains cautious,"Despite strong earnings, TCS management flagged cautious hiring guidance for the next two quarters, citing macroeconomic uncertainty in key markets.",2026-08-21,FinNews,TCS
n006,Reliance announces major energy expansion,"Reliance Industries announced a significant expansion of its renewable energy business, with a new $10 billion investment in solar manufacturing capacity over the next five years.",2026-08-15,MarketWire,RELIANCE
n007,Reliance retail arm posts record festive season sales,"Reliance Retail reported record festive season sales, with same-store sales growth of 18%, driven by strong demand across its grocery and fashion formats.",2026-08-18,FinNews,RELIANCE
n008,Reliance faces regulatory scrutiny over telecom pricing,"Indian regulators opened a review into Reliance Jio's telecom pricing practices following complaints from smaller competitors about predatory pricing.",2026-08-22,RegWatch,RELIANCE
n009,Infosys wins large cloud modernization contract,"Infosys announced it has won a multi-year cloud modernization contract worth $500 million from a European bank, strengthening its position in financial services technology.",2026-08-10,MarketWire,INFY
n010,Infosys reports steady quarterly performance,"Infosys reported quarterly results broadly in line with analyst expectations, with revenue growth of 6% and stable margins despite a challenging demand environment.",2026-08-19,FinNews,INFY
n011,Infosys announces leadership change in Americas unit,"Infosys announced a leadership change in its Americas business unit, appointing a new regional head effective next quarter as part of a broader restructuring.",2026-08-23,FinNews,INFY
n012,HDFC Bank flags rising loan defaults,"HDFC Bank flagged a rise in loan defaults in its unsecured retail lending book, prompting analysts to raise questions about asset quality risks heading into the next fiscal year.",2026-08-16,RegWatch,HDFC
n013,HDFC Bank reports robust deposit growth,"HDFC Bank reported robust deposit growth of 14% year over year, helping offset margin pressure from rising funding costs.",2026-08-17,MarketWire,HDFC
n014,HDFC Bank completes merger integration milestone,"HDFC Bank said it has completed a key milestone in its merger integration with HDFC Ltd, consolidating loan books and branch operations ahead of schedule.",2026-08-25,FinNews,HDFC
n015,Investors debate AI spending sustainability,"Investors and analysts are increasingly debating whether current levels of enterprise AI spending are sustainable, with some warning of a potential slowdown in 2027 if returns on AI investment disappoint.",2026-08-24,MarketWire,TCS
